date,plant,region,product,produced_quantity,production_capacity
2023-01-05,P_NA,NA,C,1038,3237
2023-01-05,P_EU,EU,A,3608,3755
2023-01-05,P_EU,EU,B,2468,2343
2023-01-05,P_EU,EU,C,1876,3229
2023-01-05,P_APAC,APAC,A,1199,3252
2023-01-05,P_APAC,APAC,B,3584,2989
2023-01-05,P_APAC,APAC,C,3917,3862
2023-01-06,P_LATAM,LATAM,A,3166,3801
2023-01-06,P_LATAM,LATAM,B,2869,3032
2023-01-06,P_LATAM,LATAM,C,3013,2661
2023-01-06,P_NA,NA,A,1589,2847
2023-01-06,P_NA,NA,B,4253,3925
2023-01-06,P_NA,NA,C,1411,3828
2023-01-06,P_EU,EU,A,2640,3007
2023-01-06,P_EU,EU,B,3693,3253
2023-01-06,P_EU,EU,C,2258,1986
2023-01-06,P_APAC,APAC,A,1978,2147
2023-01-06,P_APAC,APAC,B,3436,3095
2023-01-06,P_APAC,APAC,C,1808,3003
2023-01-07,P_LATAM,LATAM,A,2316,1949
2023-01-07,P_LATAM,LATAM,B,2773,2465
2023-01-07,P_LATAM,LATAM,C,2196,3430
2023-01-07,P_NA,NA,A,2196,2755
2023-01-07,P_NA,NA,B,3055,2714
2023-01-07,P_NA,NA,C,4090,3452
2023-01-07,P_EU,EU,A,1790,1551
2023-01-07,P_EU,EU,B,2696,2870
2023-01-07,P_EU,EU,C,1495,2037
2023-01-07,P_APAC,APAC,A,1732,1616
2023-01-07,P_APAC,APAC,B,1145,2158
2023-01-07,P_APAC,APAC,C,1933,1733
2023-01-08,P_LATAM,LATAM,A,2711,2653
2023-01-08,P_LATAM,LATAM,B,1769,2459
2023-01-08,P_LATAM,LATAM,C,1361,3825
2023-01-08,P_NA,NA,A,787,1991
2023-01-08,P_NA,NA,B,1497,3151
2023-01-08,P_NA,NA,C,894,1806
2023-01-08,P_EU,EU,A,3243,3339
2023-01-08,P_EU,EU,B,3371,3444
2023-01-08,P_EU,EU,C,1698,2961
2023-01-08,P_APAC,APAC,A,3066,3893
2023-01-08,P_APAC,APAC,B,2441,2214
2023-01-08,P_APAC,APAC,C,1618,3958
2023-01-09,P_LATAM,LATAM,A,4472,3751
2023-01-09,P_LATAM,LATAM,B,1173,3249
2023-01-09,P_LATAM,LATAM,C,1792,2118
2023-01-09,P_NA,NA,A,1477,1774
2023-01-09,P_NA,NA,B,1936,2583
2023-01-09,P_NA,NA,C,1212,3195
2023-01-09,P_EU,EU,A,3081,2800
2023-01-09,P_EU,EU,B,887,2285
2023-01-09,P_EU,EU,C,3164,2838
2023-01-09,P_APAC,APAC,A,1953,3113
2023-01-09,P_APAC,APAC,B,2771,2323
2023-01-09,P_APAC,APAC,C,1123,1571
2023-01-10,P_LATAM,LATAM,A,2840,2720
2023-01-10,P_LATAM,LATAM,B,3016,3136
2023-01-10,P_LATAM,LATAM,C,1366,3250
2023-01-10,P_NA,NA,A,1282,1753
2023-01-10,P_NA,NA,B,745,1506
2023-01-10,P_NA,NA,C,1412,3658
2023-01-10,P_EU,EU,A,1536,3579
2023-01-10,P_EU,EU,B,1458,1818
2023-01-10,P_EU,EU,C,1222,2275
2023-01-10,P_APAC,APAC,A,1321,2917
2023-01-10,P_APAC,APAC,B,3023,2809
2023-01-10,P_APAC,APAC,C,1268,3893
2023-01-11,P_LATAM,LATAM,A,1695,3566
2023-01-11,P_LATAM,LATAM,B,2767,2603
2023-01-11,P_LATAM,LATAM,C,3822,3778
2023-01-11,P_NA,NA,A,837,2395
2023-01-11,P_NA,NA,B,1455,3604
2023-01-11,P_NA,NA,C,1789,2278
2023-01-11,P_EU,EU,A,1357,3175
2023-01-11,P_EU,EU,B,3622,3051
2023-01-11,P_EU,EU,C,889,1899
2023-01-11,P_APAC,APAC,A,2491,3993
2023-01-11,P_APAC,APAC,B,1877,1824
2023-01-11,P_APAC,APAC,C,3130,3641
2023-01-12,P_LATAM,LATAM,A,851,2313
2023-01-12,P_LATAM,LATAM,B,1681,1940
2023-01-12,P_LATAM,LATAM,C,1640,2739
2023-01-12,P_NA,NA,A,1348,2902
2023-01-12,P_NA,NA,B,1951,3688
2023-01-12,P_NA,NA,C,1354,2744
2023-01-12,P_EU,EU,A,1227,1774
2023-01-12,P_EU,EU,B,1155,2269
2023-01-12,P_EU,EU,C,1398,1886
2023-01-12,P_APAC,APAC,A,2837,2909
2023-01-12,P_APAC,APAC,B,3008,3437
2023-01-12,P_APAC,APAC,C,1395,3180
2023-01-13,P_LATAM,LATAM,A,1969,1913
2023-01-13,P_LATAM,LATAM,B,1752,1587
2023-01-13,P_LATAM,LATAM,C,2550,3183
2023-01-13,P_NA,NA,A,3952,3491
2023-01-13,P_NA,NA,B,2193,3449
2023-01-13,P_NA,NA,C,1723,2020
2023-01-13,P_EU,EU,A,2942,2688
2023-01-13,P_EU,EU,B,1442,1781
2023-01-13,P_EU,EU,C,1735,3711
2023-01-13,P_APAC,APAC,A,976,1804
2023-01-13,P_APAC,APAC,B,1428,1700
2023-01-13,P_APAC,APAC,C,4362,3752
2023-01-14,P_LATAM,LATAM,A,1885,3312
2023-01-14,P_LATAM,LATAM,B,2986,3091
2023-01-14,P_LATAM,LATAM,C,1200,1588
2023-01-14,P_NA,NA,A,2899,3147
2023-01-14,P_NA,NA,B,1449,1639
2023-01-14,P_NA,NA,C,1750,2860
2023-01-14,P_EU,EU,A,875,2571
2023-01-14,P_EU,EU,B,1835,3840
2023-01-14,P_EU,EU,C,2359,3291
2023-01-14,P_APAC,APAC,A,1412,1908
2023-01-14,P_APAC,APAC,B,1301,3276
2023-01-14,P_APAC,APAC,C,2713,3714
2023-01-15,P_LATAM,LATAM,A,1576,1519
2023-01-15,P_LATAM,LATAM,B,2689,3621
2023-01-15,P_LATAM,LATAM,C,1151,1750
2023-01-15,P_NA,NA,A,3543,3755
2023-01-15,P_NA,NA,B,1885,2476
2023-01-15,P_NA,NA,C,3949,3752
2023-01-15,P_EU,EU,A,934,2024
2023-01-15,P_EU,EU,B,3303,3510
2023-01-15,P_EU,EU,C,4401,3925
2023-01-15,P_APAC,APAC,A,2604,2270
2023-01-15,P_APAC,APAC,B,2016,1934
2023-01-15,P_APAC,APAC,C,1969,3599
2023-01-16,P_LATAM,LATAM,A,1933,3353
2023-01-16,P_LATAM,LATAM,B,1864,3009
2023-01-16,P_LATAM,LATAM,C,1976,2019
2023-01-16,P_NA,NA,A,785,2320
2023-01-16,P_NA,NA,B,2265,2080
2023-01-16,P_NA,NA,C,2329,2342
2023-01-16,P_EU,EU,A,1243,2093
2023-01-16,P_EU,EU,B,2468,3439
2023-01-16,P_EU,EU,C,1863,1577
2023-01-16,P_APAC,APAC,A,1167,3529
2023-01-16,P_APAC,APAC,B,948,3043
2023-01-16,P_APAC,APAC,C,1130,2177
2023-01-17,P_LATAM,LATAM,A,1622,1839
2023-01-17,P_LATAM,LATAM,B,2448,2911
2023-01-17,P_LATAM,LATAM,C,1414,1585
2023-01-17,P_NA,NA,A,2806,2785
2023-01-17,P_NA,NA,B,1703,3005
2023-01-17,P_NA,NA,C,1645,2199
2023-01-17,P_EU,EU,A,2322,2430
2023-01-17,P_EU,EU,B,2807,3289
2023-01-17,P_EU,EU,C,1869,3161
2023-01-17,P_APAC,APAC,A,2457,2132
2023-01-17,P_APAC,APAC,B,1888,3955
2023-01-17,P_APAC,APAC,C,4628,3886
2023-01-18,P_LATAM,LATAM,A,2599,3072
2023-01-18,P_LATAM,LATAM,B,2796,3460
2023-01-18,P_LATAM,LATAM,C,2423,2233
2023-01-18,P_NA,NA,A,2328,3031
2023-01-18,P_NA,NA,B,1516,2119
2023-01-18,P_NA,NA,C,2562,3070
2023-01-18,P_EU,EU,A,875,2477
2023-01-18,P_EU,EU,B,1663,2278
2023-01-18,P_EU,EU,C,2465,3870
2023-01-18,P_APAC,APAC,A,3060,2683
2023-01-18,P_APAC,APAC,B,2696,2347
2023-01-18,P_APAC,APAC,C,2432,2175
2023-01-19,P_LATAM,LATAM,A,751,1584
2023-01-19,P_LATAM,LATAM,B,2210,2205
2023-01-19,P_LATAM,LATAM,C,1457,2545
2023-01-19,P_NA,NA,A,2595,3126
2023-01-19,P_NA,NA,B,2511,3781
2023-01-19,P_NA,NA,C,2907,3861
2023-01-19,P_EU,EU,A,1934,2458
2023-01-19,P_EU,EU,B,1180,3894
2023-01-19,P_EU,EU,C,976,2058
2023-01-19,P_APAC,APAC,A,1798,1940
2023-01-19,P_APAC,APAC,B,1115,2111
2023-01-19,P_APAC,APAC,C,2180,1943
2023-01-20,P_LATAM,LATAM,A,4069,3584
2023-01-20,P_LATAM,LATAM,B,3092,3762
2023-01-20,P_LATAM,LATAM,C,2887,2894
2023-01-20,P_NA,NA,A,849,1924
2023-01-20,P_NA,NA,B,2606,3075
2023-01-20,P_NA,NA,C,1706,2522
2023-01-20,P_EU,EU,A,3625,3316
2023-01-20,P_EU,EU,B,3972,3687
2023-01-20,P_EU,EU,C,784,1992
2023-01-20,P_APAC,APAC,A,1370,1960
2023-01-20,P_APAC,APAC,B,1626,3690
2023-01-20,P_APAC,APAC,C,2763,2980
2023-01-21,P_LATAM,LATAM,A,1554,1887
2023-01-21,P_LATAM,LATAM,B,1967,2595
2023-01-21,P_LATAM,LATAM,C,3703,3187
2023-01-21,P_NA,NA,A,1724,3507
2023-01-21,P_NA,NA,B,1843,2173
2023-01-21,P_NA,NA,C,2115,2104
2023-01-21,P_EU,EU,A,1210,1825
2023-01-21,P_EU,EU,B,2916,2600
2023-01-21,P_EU,EU,C,3203,3596
2023-01-21,P_APAC,APAC,A,697,2197
2023-01-21,P_APAC,APAC,B,2230,1988
2023-01-21,P_APAC,APAC,C,2434,2533
2023-01-22,P_LATAM,LATAM,A,2472,2274
2023-01-22,P_LATAM,LATAM,B,1415,3834
2023-01-22,P_LATAM,LATAM,C,911,1961
2023-01-22,P_NA,NA,A,2668,3855
2023-01-22,P_NA,NA,B,970,2639
2023-01-22,P_NA,NA,C,2623,2388
2023-01-22,P_EU,EU,A,2282,2048
2023-01-22,P_EU,EU,B,3589,3032
2023-01-22,P_EU,EU,C,1158,2040
2023-01-22,P_APAC,APAC,A,2120,2324
2023-01-22,P_APAC,APAC,B,2726,2530
2023-01-22,P_APAC,APAC,C,4322,3805
2023-01-23,P_LATAM,LATAM,A,2797,2975
2023-01-23,P_LATAM,LATAM,B,2694,3347
2023-01-23,P_LATAM,LATAM,C,4200,3502
2023-01-23,P_NA,NA,A,2090,1787
2023-01-23,P_NA,NA,B,1320,1685
2023-01-23,P_NA,NA,C,3413,3558
2023-01-23,P_EU,EU,A,656,1852
2023-01-23,P_EU,EU,B,1712,2056
2023-01-23,P_EU,EU,C,2321,3091
2023-01-23,P_APAC,APAC,A,1768,2209
2023-01-23,P_APAC,APAC,B,1851,2018
2023-01-23,P_APAC,APAC,C,1102,1659
2023-01-24,P_LATAM,LATAM,A,1784,1975
2023-01-24,P_LATAM,LATAM,B,2870,2774
2023-01-24,P_LATAM,LATAM,C,1962,2300
2023-01-24,P_NA,NA,A,3678,3550
2023-01-24,P_NA,NA,B,2200,3588
2023-01-24,P_NA,NA,C,1520,3381
2023-01-24,P_EU,EU,A,2269,3844
2023-01-24,P_EU,EU,B,1996,1755
2023-01-24,P_EU,EU,C,3232,2733
2023-01-24,P_APAC,APAC,A,1209,1984
2023-01-24,P_APAC,APAC,B,1130,2785
2023-01-24,P_APAC,APAC,C,2752,3402
2023-01-25,P_LATAM,LATAM,A,3654,3605
2023-01-25,P_LATAM,LATAM,B,2561,2347
2023-01-25,P_LATAM,LATAM,C,3766,3681
2023-01-25,P_NA,NA,A,2554,3976
2023-01-25,P_NA,NA,B,2616,2847
2023-01-25,P_NA,NA,C,1418,3475
2023-01-25,P_EU,EU,A,1823,3085
2023-01-25,P_EU,EU,B,1672,2821
2023-01-25,P_EU,EU,C,915,2364
2023-01-25,P_APAC,APAC,A,2488,3335
2023-01-25,P_APAC,APAC,B,2083,2620
2023-01-25,P_APAC,APAC,C,2601,3051
2023-01-26,P_LATAM,LATAM,A,4233,3912
2023-01-26,P_LATAM,LATAM,B,2585,3957
2023-01-26,P_LATAM,LATAM,C,1401,2043
2023-01-26,P_NA,NA,A,1849,2728
2023-01-26,P_NA,NA,B,1980,1864
2023-01-26,P_NA,NA,C,2267,3009
2023-01-26,P_EU,EU,A,3007,2522
2023-01-26,P_EU,EU,B,3140,3692
2023-01-26,P_EU,EU,C,1544,2767
2023-01-26,P_APAC,APAC,A,1399,2034
2023-01-26,P_APAC,APAC,B,3430,3248
2023-01-26,P_APAC,APAC,C,2846,2504
2023-01-27,P_LATAM,LATAM,A,746,1976
2023-01-27,P_LATAM,LATAM,B,2426,3297
2023-01-27,P_LATAM,LATAM,C,765,1723
2023-01-27,P_NA,NA,A,2278,3612
2023-01-27,P_NA,NA,B,1928,1892
2023-01-27,P_NA,NA,C,3448,3708
2023-01-27,P_EU,EU,A,3603,3853
2023-01-27,P_EU,EU,B,2885,3568
2023-01-27,P_EU,EU,C,1394,3650
2023-01-27,P_APAC,APAC,A,1213,1580
2023-01-27,P_APAC,APAC,B,2939,3736
2023-01-27,P_APAC,APAC,C,841,2467
2023-01-28,P_LATAM,LATAM,A,3344,3169
2023-01-28,P_LATAM,LATAM,B,1614,2530
2023-01-28,P_LATAM,LATAM,C,1070,2371
2023-01-28,P_NA,NA,A,2416,3227
2023-01-28,P_NA,NA,B,2398,3063
2023-01-28,P_NA,NA,C,3129,3650
2023-01-28,P_EU,EU,A,1445,2798
2023-01-28,P_EU,EU,B,1165,2476
2023-01-28,P_EU,EU,C,1212,1751
2023-01-28,P_APAC,APAC,A,2955,3526
2023-01-28,P_APAC,APAC,B,1753,3460
2023-01-28,P_APAC,APAC,C,1148,3733
2023-01-29,P_LATAM,LATAM,A,1201,1936
2023-01-29,P_LATAM,LATAM,B,851,2048
2023-01-29,P_LATAM,LATAM,C,3337,3399
2023-01-29,P_NA,NA,A,2380,2286
2023-01-29,P_NA,NA,B,1724,2586
2023-01-29,P_NA,NA,C,3743,3160
2023-01-29,P_EU,EU,A,1369,2575
2023-01-29,P_EU,EU,B,2222,2122
2023-01-29,P_EU,EU,C,3035,3195
2023-01-29,P_APAC,APAC,A,1076,2578
2023-01-29,P_APAC,APAC,B,638,2045
2023-01-29,P_APAC,APAC,C,720,2346
2023-01-30,P_LATAM,LATAM,A,3770,3864
2023-01-30,P_LATAM,LATAM,B,1596,2661
2023-01-30,P_LATAM,LATAM,C,2336,3761
2023-01-30,P_NA,NA,A,3604,3275
2023-01-30,P_NA,NA,B,1168,1739
2023-01-30,P_NA,NA,C,2383,3765
2023-01-30,P_EU,EU,A,546,1797
2023-01-30,P_EU,EU,B,2796,2547
2023-01-30,P_EU,EU,C,4016,3785
2023-01-30,P_APAC,APAC,A,1903,2175
2023-01-30,P_APAC,APAC,B,1231,1529
2023-01-30,P_APAC,APAC,C,2213,3466
2023-01-31,P_LATAM,LATAM,A,1290,3514
2023-01-31,P_LATAM,LATAM,B,950,2321
2023-01-31,P_LATAM,LATAM,C,2142,3339
2023-01-31,P_NA,NA,A,2350,3970
2023-01-31,P_NA,NA,B,1476,3083
2023-01-31,P_NA,NA,C,1830,3924
2023-01-31,P_EU,EU,A,3036,2798
2023-01-31,P_EU,EU,B,2054,1765
2023-01-31,P_EU,EU,C,1371,3149
2023-01-31,P_APAC,APAC,A,2694,2344
2023-01-31,P_APAC,APAC,B,2062,2464
2023-01-31,P_APAC,APAC,C,2201,1841
2023-02-01,P_LATAM,LATAM,A,3497,3812
2023-02-01,P_LATAM,LATAM,B,2199,3052
2023-02-01,P_LATAM,LATAM,C,1486,2034
2023-02-01,P_NA,NA,A,4035,3673
2023-02-01,P_NA,NA,B,984,1912
2023-02-01,P_NA,NA,C,4120,3671
2023-02-01,P_EU,EU,A,4154,3641
2023-02-01,P_EU,EU,B,2843,2699
2023-02-01,P_EU,EU,C,4497,3943
2023-02-01,P_APAC,APAC,A,2151,3320
2023-02-01,P_APAC,APAC,B,2224,1997
2023-02-01,P_APAC,APAC,C,1688,1803
2023-02-02,P_LATAM,LATAM,A,1407,1666
2023-02-02,P_LATAM,LATAM,B,3152,2995
2023-02-02,P_LATAM,LATAM,C,2180,3949
2023-02-02,P_NA,NA,A,2858,3489
2023-02-02,P_NA,NA,B,1433,2376
2023-02-02,P_NA,NA,C,1438,2341
2023-02-02,P_EU,EU,A,2254,3053
2023-02-02,P_EU,EU,B,2453,2158
2023-02-02,P_EU,EU,C,2550,2336
2023-02-02,P_APAC,APAC,A,1840,3940
2023-02-02,P_APAC,APAC,B,1110,1785
2023-02-02,P_APAC,APAC,C,1892,2622
2023-02-03,P_LATAM,LATAM,A,2685,3432
2023-02-03,P_LATAM,LATAM,B,2809,3392
2023-02-03,P_LATAM,LATAM,C,2575,3994
2023-02-03,P_NA,NA,A,1844,2647
2023-02-03,P_NA,NA,B,2730,2854
2023-02-03,P_NA,NA,C,871,1738
2023-02-03,P_EU,EU,A,995,2467
2023-02-03,P_EU,EU,B,1115,1725
2023-02-03,P_EU,EU,C,3798,3993
2023-02-03,P_APAC,APAC,A,2501,2457
2023-02-03,P_APAC,APAC,B,2187,3681
2023-02-03,P_APAC,APAC,C,586,1579
2023-02-04,P_LATAM,LATAM,A,984,3278
2023-02-04,P_LATAM,LATAM,B,765,1848
2023-02-04,P_LATAM,LATAM,C,2221,2232
2023-02-04,P_NA,NA,A,1756,1651
2023-02-04,P_NA,NA,B,2890,3024
2023-02-04,P_NA,NA,C,650,1604
2023-02-04,P_EU,EU,A,2157,2289
2023-02-04,P_EU,EU,B,1547,1633
2023-02-04,P_EU,EU,C,3625,3308
2023-02-04,P_APAC,APAC,A,1720,2652
2023-02-04,P_APAC,APAC,B,3237,3882
2023-02-04,P_APAC,APAC,C,3165,3169
2023-02-05,P_LATAM,LATAM,A,1009,3036
2023-02-05,P_LATAM,LATAM,B,2147,3214
2023-02-05,P_LATAM,LATAM,C,956,1675
2023-02-05,P_NA,NA,A,3650,3110
2023-02-05,P_NA,NA,B,974,2547
2023-02-05,P_NA,NA,C,1730,2731
2023-02-05,P_EU,EU,A,1567,3507
2023-02-05,P_EU,EU,B,2152,2721
2023-02-05,P_EU,EU,C,3363,3563
2023-02-05,P_APAC,APAC,A,2042,3263
2023-02-05,P_APAC,APAC,B,1596,2053
2023-02-05,P_APAC,APAC,C,736,1564
2023-02-06,P_LATAM,LATAM,A,2692,2690
2023-02-06,P_LATAM,LATAM,B,3151,3900
2023-02-06,P_LATAM,LATAM,C,3184,3102
2023-02-06,P_NA,NA,A,1820,1531
2023-02-06,P_NA,NA,B,1150,3363
2023-02-06,P_NA,NA,C,831,2142
2023-02-06,P_EU,EU,A,3722,3204
2023-02-06,P_EU,EU,B,1358,1661
2023-02-06,P_EU,EU,C,785,1722
2023-02-06,P_APAC,APAC,A,3118,3197
2023-02-06,P_APAC,APAC,B,3185,2701
2023-02-06,P_APAC,APAC,C,912,2146
2023-02-07,P_LATAM,LATAM,A,3097,2707
2023-02-07,P_LATAM,LATAM,B,980,1896
2023-02-07,P_LATAM,LATAM,C,2601,2808
2023-02-07,P_NA,NA,A,2138,2154
2023-02-07,P_NA,NA,B,3019,3233
2023-02-07,P_NA,NA,C,1820,2704
2023-02-07,P_EU,EU,A,3953,3479
2023-02-07,P_EU,EU,B,1968,2559
2023-02-07,P_EU,EU,C,1780,1797
2023-02-07,P_APAC,APAC,A,1516,2518
2023-02-07,P_APAC,APAC,B,1956,1721
2023-02-07,P_APAC,APAC,C,3234,3684
2023-02-08,P_LATAM,LATAM,A,1309,2407
2023-02-08,P_LATAM,LATAM,B,1663,2388
2023-02-08,P_LATAM,LATAM,C,3581,3111
2023-02-08,P_NA,NA,A,2978,2631
2023-02-08,P_NA,NA,B,3643,3515
2023-02-08,P_NA,NA,C,1864,3472
2023-02-08,P_EU,EU,A,1099,1694
2023-02-08,P_EU,EU,B,2580,2453
2023-02-08,P_EU,EU,C,3308,3047
2023-02-08,P_APAC,APAC,A,1019,2320
2023-02-08,P_APAC,APAC,B,1003,3067
2023-02-08,P_APAC,APAC,C,3072,2866
2023-02-09,P_LATAM,LATAM,A,2305,2848
2023-02-09,P_LATAM,LATAM,B,1702,2170
2023-02-09,P_LATAM,LATAM,C,2386,2903
2023-02-09,P_NA,NA,A,2243,3926
2023-02-09,P_NA,NA,B,1960,2869
2023-02-09,P_NA,NA,C,1735,2299
2023-02-09,P_EU,EU,A,1191,1572
2023-02-09,P_EU,EU,B,589,1783
2023-02-09,P_EU,EU,C,1980,2894
2023-02-09,P_APAC,APAC,A,1960,1762
2023-02-09,P_APAC,APAC,B,1256,1987
2023-02-09,P_APAC,APAC,C,3745,3685
2023-02-10,P_LATAM,LATAM,A,3000,3914
2023-02-10,P_LATAM,LATAM,B,1639,2064
2023-02-10,P_LATAM,LATAM,C,1604,1576
2023-02-10,P_NA,NA,A,958,2035
2023-02-10,P_NA,NA,B,579,1525
2023-02-10,P_NA,NA,C,2722,2973
2023-02-10,P_EU,EU,A,3162,3808
2023-02-10,P_EU,EU,B,4308,3756
2023-02-10,P_EU,EU,C,2516,2674
2023-02-10,P_APAC,APAC,A,768,2404
2023-02-10,P_APAC,APAC,B,1129,2256
2023-02-10,P_APAC,APAC,C,1382,3233
2023-02-11,P_LATAM,LATAM,A,936,2089
2023-02-11,P_LATAM,LATAM,B,1200,3043
2023-02-11,P_LATAM,LATAM,C,2946,3277
2023-02-11,P_NA,NA,A,1069,2763
2023-02-11,P_NA,NA,B,1910,3340
2023-02-11,P_NA,NA,C,3223,3222
2023-02-11,P_EU,EU,A,1796,1775
2023-02-11,P_EU,EU,B,1877,3022
2023-02-11,P_EU,EU,C,1994,1691
2023-02-11,P_APAC,APAC,A,3075,3347
2023-02-11,P_APAC,APAC,B,962,2312
2023-02-11,P_APAC,APAC,C,3455,3846
2023-02-12,P_LATAM,LATAM,A,3374,3024
2023-02-12,P_LATAM,LATAM,B,2533,3084
2023-02-12,P_LATAM,LATAM,C,2921,2452
2023-02-12,P_NA,NA,A,2767,3022
2023-02-12,P_NA,NA,B,1933,2232
2023-02-12,P_NA,NA,C,1302,2396
2023-02-12,P_EU,EU,A,1219,1796
2023-02-12,P_EU,EU,B,2975,2622
2023-02-12,P_EU,EU,C,1315,3172
2023-02-12,P_APAC,APAC,A,1581,1938
2023-02-12,P_APAC,APAC,B,2079,3955
2023-02-12,P_APAC,APAC,C,815,2212
2023-02-13,P_LATAM,LATAM,A,1277,3314
2023-02-13,P_LATAM,LATAM,B,1566,2359
2023-02-13,P_LATAM,LATAM,C,1230,3110
2023-02-13,P_NA,NA,A,2203,2180
2023-02-13,P_NA,NA,B,3084,2962
2023-02-13,P_NA,NA,C,822,1874
2023-02-13,P_EU,EU,A,3151,3220
2023-02-13,P_EU,EU,B,3394,3003
2023-02-13,P_EU,EU,C,2285,3843
2023-02-13,P_APAC,APAC,A,1244,2342
2023-02-13,P_APAC,APAC,B,2283,2964
2023-02-13,P_APAC,APAC,C,1801,1740
2023-02-14,P_LATAM,LATAM,A,1063,3028
2023-02-14,P_LATAM,LATAM,B,2371,2247
2023-02-14,P_LATAM,LATAM,C,858,1744
2023-02-14,P_NA,NA,A,1536,1577
2023-02-14,P_NA,NA,B,2392,3477
2023-02-14,P_NA,NA,C,1410,1620
2023-02-14,P_EU,EU,A,1428,1692
2023-02-14,P_EU,EU,B,3513,3796
2023-02-14,P_EU,EU,C,1891,3411
2023-02-14,P_APAC,APAC,A,2859,3837
2023-02-14,P_APAC,APAC,B,1585,2265
2023-02-14,P_APAC,APAC,C,1893,3054
2023-02-15,P_LATAM,LATAM,A,1007,1795
2023-02-15,P_LATAM,LATAM,B,1741,3211
2023-02-15,P_LATAM,LATAM,C,2112,1995
2023-02-15,P_NA,NA,A,2973,2507
2023-02-15,P_NA,NA,B,2701,3703
2023-02-15,P_NA,NA,C,1719,1911
2023-02-15,P_EU,EU,A,2273,1932
2023-02-15,P_EU,EU,B,898,1530
2023-02-15,P_EU,EU,C,3724,3378
2023-02-15,P_APAC,APAC,A,1462,2446
2023-02-15,P_APAC,APAC,B,840,2009
2023-02-15,P_APAC,APAC,C,2121,3208
2023-02-16,P_LATAM,LATAM,A,1708,2548
2023-02-16,P_LATAM,LATAM,B,2735,3384
2023-02-16,P_LATAM,LATAM,C,2198,2897
2023-02-16,P_NA,NA,A,1469,2634
2023-02-16,P_NA,NA,B,2763,2605
2023-02-16,P_NA,NA,C,2774,2775
2023-02-16,P_EU,EU,A,1650,3756
2023-02-16,P_EU,EU,B,2296,2863
2023-02-16,P_EU,EU,C,2435,2727
2023-02-16,P_APAC,APAC,A,3091,3199
2023-02-16,P_APAC,APAC,B,1627,1759
2023-02-16,P_APAC,APAC,C,1915,1641
2023-02-17,P_LATAM,LATAM,A,716,2317
2023-02-17,P_LATAM,LATAM,B,3189,3517
2023-02-17,P_LATAM,LATAM,C,3198,3530
2023-02-17,P_NA,NA,A,1163,2440
2023-02-17,P_NA,NA,B,1734,2960
2023-02-17,P_NA,NA,C,2614,3234
2023-02-17,P_EU,EU,A,1040,2007
2023-02-17,P_EU,EU,B,3042,3444
