date,region,product,stock_level,warehouse_capacity
2023-01-09,LATAM,B,-23,8959
2023-01-09,LATAM,C,13089,12396
2023-01-09,NA,A,11872,14615
2023-01-09,NA,B,2170,14765
2023-01-09,NA,C,9219,8992
2023-01-09,EU,A,256,12667
2023-01-09,EU,B,6754,14329
2023-01-09,EU,C,7213,8577
2023-01-09,APAC,A,6098,9282
2023-01-09,APAC,B,-92,12989
2023-01-09,APAC,C,4242,11934
2023-01-10,LATAM,A,5101,13212
2023-01-10,LATAM,B,12263,11007
2023-01-10,LATAM,C,9402,9775
2023-01-10,NA,A,10065,14103
2023-01-10,NA,B,9253,12369
2023-01-10,NA,C,11029,9123
2023-01-10,EU,A,14508,14714
2023-01-10,EU,B,899,9185
2023-01-10,EU,C,5777,11212
2023-01-10,APAC,A,2509,13654
2023-01-10,APAC,B,2115,9507
2023-01-10,APAC,C,10382,12937
2023-01-11,LATAM,A,6011,13727
2023-01-11,LATAM,B,2179,8456
2023-01-11,LATAM,C,-383,11335
2023-01-11,NA,A,25,13648
2023-01-11,NA,B,2315,14627
2023-01-11,NA,C,8648,8731
2023-01-11,EU,A,14187,13586
2023-01-11,EU,B,791,10652
2023-01-11,EU,C,3556,11258
2023-01-11,APAC,A,7418,9100
2023-01-11,APAC,B,36,11782
2023-01-11,APAC,C,7038,10958
2023-01-12,LATAM,A,13546,12629
2023-01-12,LATAM,B,3453,9899
2023-01-12,LATAM,C,10313,9909
2023-01-12,NA,A,5815,10273
2023-01-12,NA,B,11141,9813
2023-01-12,NA,C,7898,13589
2023-01-12,EU,A,12762,10840
2023-01-12,EU,B,13544,13350
2023-01-12,EU,C,3763,10124
2023-01-12,APAC,A,13793,12655
2023-01-12,APAC,B,8331,14985
2023-01-12,APAC,C,12253,13502
2023-01-13,LATAM,A,2471,13659
2023-01-13,LATAM,B,10862,13072
2023-01-13,LATAM,C,1427,14653
2023-01-13,NA,A,14732,14638
2023-01-13,NA,B,7779,8890
2023-01-13,NA,C,9882,9075
2023-01-13,EU,A,12165,14652
2023-01-13,EU,B,1181,14987
2023-01-13,EU,C,-309,11703
2023-01-13,APAC,A,5229,10123
2023-01-13,APAC,B,4177,14252
2023-01-13,APAC,C,3721,9316
2023-01-14,LATAM,A,15319,14954
2023-01-14,LATAM,B,679,10047
2023-01-14,LATAM,C,9417,11478
2023-01-14,NA,A,6784,10194
2023-01-14,NA,B,-116,9383
2023-01-14,NA,C,1854,8342
2023-01-14,EU,A,1288,14020
2023-01-14,EU,B,10738,9168
2023-01-14,EU,C,3571,12277
2023-01-14,APAC,A,8210,14659
2023-01-14,APAC,B,8598,10461
2023-01-14,APAC,C,-177,12185
2023-01-15,LATAM,A,9636,14112
2023-01-15,LATAM,B,3427,14706
2023-01-15,LATAM,C,11329,10402
2023-01-15,NA,A,9383,8273
2023-01-15,NA,B,1629,14979
2023-01-15,NA,C,3575,13468
2023-01-15,EU,A,7922,8987
2023-01-15,EU,B,3479,11090
2023-01-15,EU,C,12564,14317
2023-01-15,APAC,A,4042,9253
2023-01-15,APAC,B,12086,10238
2023-01-15,APAC,C,7363,9136
2023-01-16,LATAM,A,2164,8265
2023-01-16,LATAM,B,20,8496
2023-01-16,LATAM,C,299,11273
2023-01-16,NA,A,-234,13666
2023-01-16,NA,B,8057,8536
2023-01-16,NA,C,1248,10044
2023-01-16,EU,A,12365,13598
2023-01-16,EU,B,4413,14862
2023-01-16,EU,C,3962,8334
2023-01-16,APAC,A,6220,13151
2023-01-16,APAC,B,2985,12526
2023-01-16,APAC,C,10323,9639
2023-01-17,LATAM,A,4912,8583
2023-01-17,LATAM,B,5290,12787
2023-01-17,LATAM,C,-278,11724
2023-01-17,NA,A,-304,12806
2023-01-17,NA,B,1348,11091
2023-01-17,NA,C,567,8665
2023-01-17,EU,A,4109,11168
2023-01-17,EU,B,-115,13092
2023-01-17,EU,C,5365,8057
2023-01-17,APAC,A,8329,10394
2023-01-17,APAC,B,1072,8018
2023-01-17,APAC,C,14101,13094
2023-01-18,LATAM,A,-494,14691
2023-01-18,LATAM,B,9191,13277
2023-01-18,LATAM,C,5358,9574
2023-01-18,NA,A,1975,8055
2023-01-18,NA,B,10442,13445
2023-01-18,NA,C,6263,12801
2023-01-18,EU,A,11145,11964
2023-01-18,EU,B,10513,10126
2023-01-18,EU,C,2969,11010
2023-01-18,APAC,A,5347,11361
2023-01-18,APAC,B,11293,11376
2023-01-18,APAC,C,5519,13966
2023-01-19,LATAM,A,1597,11561
2023-01-19,LATAM,B,57,8021
2023-01-19,LATAM,C,10676,14860
2023-01-19,NA,A,965,9897
2023-01-19,NA,B,2984,12096
2023-01-19,NA,C,4980,9319
2023-01-19,EU,A,1192,11857
2023-01-19,EU,B,890,8963
2023-01-19,EU,C,648,9101
2023-01-19,APAC,A,6458,14228
2023-01-19,APAC,B,565,10748
2023-01-19,APAC,C,7549,8216
2023-01-20,LATAM,A,2238,13919
2023-01-20,LATAM,B,11382,9852
2023-01-20,LATAM,C,9075,8062
2023-01-20,NA,A,2033,8722
2023-01-20,NA,B,8036,11521
2023-01-20,NA,C,9362,8063
2023-01-20,EU,A,3629,8951
2023-01-20,EU,B,15694,13843
2023-01-20,EU,C,5301,12327
2023-01-20,APAC,A,10133,9864
2023-01-20,APAC,B,1674,8395
2023-01-20,APAC,C,5362,11026
2023-01-21,LATAM,A,7739,11822
2023-01-21,LATAM,B,1431,14622
2023-01-21,LATAM,C,15580,13933
2023-01-21,NA,A,7674,9248
2023-01-21,NA,B,6894,11392
2023-01-21,NA,C,10878,13304
2023-01-21,EU,A,6231,13496
2023-01-21,EU,B,3287,12109
2023-01-21,EU,C,9342,10496
2023-01-21,APAC,A,8683,11748
2023-01-21,APAC,B,1478,8844
2023-01-21,APAC,C,7338,14847
2023-01-22,LATAM,A,2614,8232
2023-01-22,LATAM,B,3172,9718
2023-01-22,LATAM,C,12679,13585
2023-01-22,NA,A,11396,12886
2023-01-22,NA,B,195,8457
2023-01-22,NA,C,-116,14650
2023-01-22,EU,A,4700,14054
2023-01-22,EU,B,7398,12792
2023-01-22,EU,C,5379,13251
2023-01-22,APAC,A,14357,13206
2023-01-22,APAC,B,14932,14421
2023-01-22,APAC,C,8774,14341
2023-01-23,LATAM,A,13558,13964
2023-01-23,LATAM,B,1437,13361
2023-01-23,LATAM,C,5832,12014
2023-01-23,NA,A,1165,10395
2023-01-23,NA,B,10439,8963
2023-01-23,NA,C,1117,11730
2023-01-23,EU,A,457,11555
2023-01-23,EU,B,13675,11924
2023-01-23,EU,C,10659,14882
2023-01-23,APAC,A,8570,14948
2023-01-23,APAC,B,5930,8064
2023-01-23,APAC,C,3776,12466
2023-01-24,LATAM,A,3837,14907
2023-01-24,LATAM,B,5611,10733
2023-01-24,LATAM,C,1049,10109
2023-01-24,NA,A,3967,12632
2023-01-24,NA,B,3584,11534
2023-01-24,NA,C,10308,13000
2023-01-24,EU,A,10346,13287
2023-01-24,EU,B,414,9595
2023-01-24,EU,C,12103,12528
2023-01-24,APAC,A,9563,10361
2023-01-24,APAC,B,5341,9573
2023-01-24,APAC,C,3710,9205
2023-01-25,LATAM,A,3832,11313
2023-01-25,LATAM,B,7565,11068
2023-01-25,LATAM,C,4049,10598
2023-01-25,NA,A,570,12331
2023-01-25,NA,B,3240,10875
2023-01-25,NA,C,3830,13908
2023-01-25,EU,A,3746,10031
2023-01-25,EU,B,1732,9811
2023-01-25,EU,C,1767,9409
2023-01-25,APAC,A,5706,12166
2023-01-25,APAC,B,-456,12289
2023-01-25,APAC,C,11670,10931
2023-01-26,LATAM,A,2796,14308
2023-01-26,LATAM,B,7454,10928
2023-01-26,LATAM,C,2884,9456
2023-01-26,NA,A,7,9822
2023-01-26,NA,B,28,10370
2023-01-26,NA,C,8056,11786
2023-01-26,EU,A,1915,10984
2023-01-26,EU,B,2433,9400
2023-01-26,EU,C,11358,12578
2023-01-26,APAC,A,9635,8287
2023-01-26,APAC,B,14298,14534
2023-01-26,APAC,C,6022,14904
2023-01-27,LATAM,A,3127,9752
2023-01-27,LATAM,B,940,8307
2023-01-27,LATAM,C,9131,9610
2023-01-27,NA,A,2042,13935
2023-01-27,NA,B,11289,9647
2023-01-27,NA,C,650,13879
2023-01-27,EU,A,10252,9801
2023-01-27,EU,B,3379,14661
2023-01-27,EU,C,11119,9817
2023-01-27,APAC,A,711,13668
2023-01-27,APAC,B,7418,9643
2023-01-27,APAC,C,832,14391
2023-01-28,LATAM,A,1614,12426
2023-01-28,LATAM,B,15241,14769
2023-01-28,LATAM,C,6917,8638
2023-01-28,NA,A,149,10276
2023-01-28,NA,B,5973,12815
2023-01-28,NA,C,4167,9511
2023-01-28,EU,A,11026,11191
2023-01-28,EU,B,2158,9551
2023-01-28,EU,C,4802,14133
2023-01-28,APAC,A,1232,8106
2023-01-28,APAC,B,7286,10959
2023-01-28,APAC,C,-362,14249
2023-01-29,LATAM,A,4273,8053
2023-01-29,LATAM,B,13956,13438
2023-01-29,LATAM,C,7331,13541
2023-01-29,NA,A,10847,9974
2023-01-29,NA,B,482,9274
2023-01-29,NA,C,10161,13922
2023-01-29,EU,A,5123,13427
2023-01-29,EU,B,6245,8351
2023-01-29,EU,C,1597,9501
2023-01-29,APAC,A,2337,8853
2023-01-29,APAC,B,11940,12852
2023-01-29,APAC,C,14215,12729
2023-01-30,LATAM,A,9277,8291
2023-01-30,LATAM,B,8721,11770
2023-01-30,LATAM,C,10580,13785
2023-01-30,NA,A,5438,9375
2023-01-30,NA,B,1134,13564
2023-01-30,NA,C,2076,9239
2023-01-30,EU,A,5130,11280
2023-01-30,EU,B,5639,10739
2023-01-30,EU,C,3539,11625
2023-01-30,APAC,A,2383,10693
2023-01-30,APAC,B,3367,10812
2023-01-30,APAC,C,866,10442
2023-01-31,LATAM,A,5662,8625
2023-01-31,LATAM,B,6090,8677
2023-01-31,LATAM,C,13079,13071
2023-01-31,NA,A,12586,14978
2023-01-31,NA,B,7753,11919
2023-01-31,NA,C,3231,14298
2023-01-31,EU,A,12715,11982
2023-01-31,EU,B,8397,10333
2023-01-31,EU,C,7980,8239
2023-01-31,APAC,A,5827,11154
2023-01-31,APAC,B,6508,12854
2023-01-31,APAC,C,11847,11996
2023-02-01,LATAM,A,7644,11754
2023-02-01,LATAM,B,5060,8846
2023-02-01,LATAM,C,6195,11397
2023-02-01,NA,A,10929,12999
2023-02-01,NA,B,8251,11945
2023-02-01,NA,C,-251,8587
2023-02-01,EU,A,12744,11290
2023-02-01,EU,B,5483,10476
2023-02-01,EU,C,-492,12903
2023-02-01,APAC,A,3828,14825
2023-02-01,APAC,B,3745,13008
2023-02-01,APAC,C,13303,12451
2023-02-02,LATAM,A,331,11144
2023-02-02,LATAM,B,2549,11222
2023-02-02,LATAM,C,10907,13286
2023-02-02,NA,A,4362,10144
2023-02-02,NA,B,-469,14802
2023-02-02,NA,C,5902,12694
2023-02-02,EU,A,8628,11426
2023-02-02,EU,B,3418,13742
2023-02-02,EU,C,8406,14241
2023-02-02,APAC,A,9037,13328
2023-02-02,APAC,B,1909,12960
2023-02-02,APAC,C,9314,8161
2023-02-03,LATAM,A,10893,10813
2023-02-03,LATAM,B,2891,12875
2023-02-03,LATAM,C,10037,10590
2023-02-03,NA,A,2338,12358
2023-02-03,NA,B,8154,13498
2023-02-03,NA,C,4266,8217
2023-02-03,EU,A,10641,14639
2023-02-03,EU,B,13698,12890
2023-02-03,EU,C,1721,14944
2023-02-03,APAC,A,11755,10177
2023-02-03,APAC,B,13457,14084
2023-02-03,APAC,C,4964,13484
2023-02-04,LATAM,A,3281,11318
2023-02-04,LATAM,B,2754,12118
2023-02-04,LATAM,C,11474,10375
2023-02-04,NA,A,14820,13216
2023-02-04,NA,B,6564,13251
2023-02-04,NA,C,1451,9548
2023-02-04,EU,A,2034,12809
2023-02-04,EU,B,6984,11021
2023-02-04,EU,C,9209,10592
2023-02-04,APAC,A,8709,12072
2023-02-04,APAC,B,10629,13409
2023-02-04,APAC,C,5979,12567
2023-02-05,LATAM,A,11127,14826
2023-02-05,LATAM,B,6978,13050
2023-02-05,LATAM,C,115,9840
2023-02-05,NA,A,2837,13266
2023-02-05,NA,B,529,8496
2023-02-05,NA,C,70,13849
2023-02-05,EU,A,5028,10366
2023-02-05,EU,B,9065,14942
2023-02-05,EU,C,10665,12938
2023-02-05,APAC,A,8051,9024
2023-02-05,APAC,B,1673,14879
2023-02-05,APAC,C,5877,10173
2023-02-06,LATAM,A,4934,9619
2023-02-06,LATAM,B,11324,9799
2023-02-06,LATAM,C,9177,9440
2023-02-06,NA,A,4368,14583
2023-02-06,NA,B,11031,13317
2023-02-06,NA,C,4012,8032
2023-02-06,EU,A,10775,11436
2023-02-06,EU,B,-458,13334
2023-02-06,EU,C,-199,9990
2023-02-06,APAC,A,8313,12789
2023-02-06,APAC,B,2583,11315
2023-02-06,APAC,C,2449,14036
2023-02-07,LATAM,A,11578,14161
2023-02-07,LATAM,B,13776,13808
2023-02-07,LATAM,C,12611,14319
2023-02-07,NA,A,6266,14957
2023-02-07,NA,B,1289,8411
2023-02-07,NA,C,9191,10804
2023-02-07,EU,A,-317,14281
2023-02-07,EU,B,5486,11343
2023-02-07,EU,C,4930,8642
2023-02-07,APAC,A,1295,11160
2023-02-07,APAC,B,11269,9424
2023-02-07,APAC,C,8971,11509
2023-02-08,LATAM,A,11529,10888
2023-02-08,LATAM,B,10745,10690
2023-02-08,LATAM,C,8887,10323
2023-02-08,NA,A,6443,10791
2023-02-08,NA,B,3239,10551
2023-02-08,NA,C,-161,14982
2023-02-08,EU,A,11531,13832
2023-02-08,EU,B,5805,8495
2023-02-08,EU,C,14197,14491
2023-02-08,APAC,A,585,14160
2023-02-08,APAC,B,16035,14211
2023-02-08,APAC,C,6368,14761
2023-02-09,LATAM,A,-179,8692
2023-02-09,LATAM,B,11649,12100
2023-02-09,LATAM,C,5285,9677
2023-02-09,NA,A,2943,11343
2023-02-09,NA,B,9502,13318
2023-02-09,NA,C,5023,11394
2023-02-09,EU,A,10657,8992
2023-02-09,EU,B,2670,11031
2023-02-09,EU,C,9034,11039
2023-02-09,APAC,A,2342,9909
2023-02-09,APAC,B,10876,11443
2023-02-09,APAC,C,4429,13718
2023-02-10,LATAM,A,2663,11404
2023-02-10,LATAM,B,3977,8404
2023-02-10,LATAM,C,8953,14950
2023-02-10,NA,A,12464,10582
2023-02-10,NA,B,4704,9001
2023-02-10,NA,C,1361,11160
2023-02-10,EU,A,136,11954
2023-02-10,EU,B,6339,14800
2023-02-10,EU,C,1098,11055
2023-02-10,APAC,A,10155,11205
2023-02-10,APAC,B,2532,11661
2023-02-10,APAC,C,6016,14805
2023-02-11,LATAM,A,485,10451
2023-02-11,LATAM,B,9575,9612
2023-02-11,LATAM,C,283,10425
2023-02-11,NA,A,5175,9152
2023-02-11,NA,B,6497,8738
2023-02-11,NA,C,15918,14579
2023-02-11,EU,A,12383,10950
2023-02-11,EU,B,2308,10896
2023-02-11,EU,C,9653,13047
2023-02-11,APAC,A,5772,8367
2023-02-11,APAC,B,7399,14345
2023-02-11,APAC,C,4254,14479
2023-02-12,LATAM,A,4429,8818
2023-02-12,LATAM,B,9622,13715
2023-02-12,LATAM,C,-220,9619
2023-02-12,NA,A,4921,8703
2023-02-12,NA,B,5901,12173
2023-02-12,NA,C,9483,12579
2023-02-12,EU,A,3516,10122
2023-02-12,EU,B,1455,12596
2023-02-12,EU,C,7381,14951
2023-02-12,APAC,A,10325,10203
2023-02-12,APAC,B,4972,11496
2023-02-12,APAC,C,11766,14107
2023-02-13,LATAM,A,5432,11157
2023-02-13,LATAM,B,6545,14341
2023-02-13,LATAM,C,-29,9306
2023-02-13,NA,A,4218,10544
2023-02-13,NA,B,14451,14054
2023-02-13,NA,C,337,12549
2023-02-13,EU,A,13401,13076
2023-02-13,EU,B,14075,12093
2023-02-13,EU,C,5636,11773
2023-02-13,APAC,A,2877,9932
2023-02-13,APAC,B,2728,14292
2023-02-13,APAC,C,1947,8644
2023-02-14,LATAM,A,11558,9755
2023-02-14,LATAM,B,1332,8112
2023-02-14,LATAM,C,1502,12648
2023-02-14,NA,A,6043,11698
2023-02-14,NA,B,4439,8068
2023-02-14,NA,C,12641,11360
2023-02-14,EU,A,9570,10050
2023-02-14,EU,B,4683,11669
2023-02-14,EU,C,5237,11158
2023-02-14,APAC,A,5184,13065
2023-02-14,APAC,B,471,10070
2023-02-14,APAC,C,10713,14795
2023-02-15,LATAM,A,8298,12812
2023-02-15,LATAM,B,10123,8916
2023-02-15,LATAM,C,2509,11690
2023-02-15,NA,A,8425,13380
2023-02-15,NA,B,2188,8310
2023-02-15,NA,C,10683,9840
2023-02-15,EU,A,3864,11292
2023-02-15,EU,B,10495,13279
2023-02-15,EU,C,9650,9062
2023-02-15,APAC,A,-207,12489
2023-02-15,APAC,B,16148,14153
2023-02-15,APAC,C,7455,14368
2023-02-16,LATAM,A,3855,10738
2023-02-16,LATAM,B,2481,10147
2023-02-16,LATAM,C,11825,14535
2023-02-16,NA,A,4758,9014
2023-02-16,NA,B,4854,13637
2023-02-16,NA,C,1877,8371
2023-02-16,EU,A,3867,11051
2023-02-16,EU,B,1196,13850
2023-02-16,EU,C,3422,13107
2023-02-16,APAC,A,5642,8487
2023-02-16,APAC,B,4250,9316
2023-02-16,APAC,C,11969,13292
2023-02-17,LATAM,A,445,11010
2023-02-17,LATAM,B,12126,10383
2023-02-17,LATAM,C,13902,13819
2023-02-17,NA,A,964,9972
2023-02-17,NA,B,10719,13568
2023-02-17,NA,C,6122,12754
2023-02-17,EU,A,11179,9425
2023-02-17,EU,B,568,8426
2023-02-17,EU,C,15812,13910
2023-02-17,APAC,A,11088,12210
2023-02-17,APAC,B,11951,11319
2023-02-17,APAC,C,6637,12769
2023-02-18,LATAM,A,9227,8707
2023-02-18,LATAM,B,-416,10537
2023-02-18,LATAM,C,4404,12525
2023-02-18,NA,A,3429,13325
2023-02-18,NA,B,2220,10352
2023-02-18,NA,C,2,12056
2023-02-18,EU,A,11543,12467
2023-02-18,EU,B,5216,9462
2023-02-18,EU,C,3592,12323
2023-02-18,APAC,A,12608,11687
2023-02-18,APAC,B,3527,9271
2023-02-18,APAC,C,6870,11172
2023-02-19,LATAM,A,2117,9068
2023-02-19,LATAM,B,11058,13629
2023-02-19,LATAM,C,13815,13261
2023-02-19,NA,A,9957,14606
2023-02-19,NA,B,8356,10802
2023-02-19,NA,C,3511,9867
2023-02-19,EU,A,2778,13964
2023-02-19,EU,B,1214,13535
2023-02-19,EU,C,-295,11034
2023-02-19,APAC,A,11560,12969
2023-02-19,APAC,B,11407,11563
2023-02-19,APAC,C,10212,13409
2023-02-20,LATAM,A,2245,11663
2023-02-20,LATAM,B,9146,9079
2023-02-20,LATAM,C,5292,14199
2023-02-20,NA,A,8875,9609
2023-02-20,NA,B,-396,8231
2023-02-20,NA,C,6637,13873
2023-02-20,EU,A,7421,12433
2023-02-20,EU,B,4183,11993
2023-02-20,EU,C,1273,9645
2023-02-20,APAC,A,2968,10793
2023-02-20,APAC,B,9466,11590
2023-02-20,APAC,C,10525,12099
2023-02-21,LATAM,A,15309,13528
2023-02-21,LATAM,B,9879,14512
2023-02-21,LATAM,C,1490,12891
2023-02-21,NA,A,1037,11231
2023-02-21,NA,B,13468,14928
2023-02-21,NA,C,6994,9286
2023-02-21,EU,A,262,13752
2023-02-21,EU,B,660,8574
2023-02-21,EU,C,5446,9689
2023-02-21,APAC,A,903,12545
2023-02-21,APAC,B,14205,13001
2023-02-21,APAC,C,11196,10359
2023-02-22,LATAM,A,10229,12884
2023-02-22,LATAM,B,9470,11627
2023-02-22,LATAM,C,11673,10367
2023-02-22,NA,A,7212,8326
2023-02-22,NA,B,-81,8845
2023-02-22,NA,C,1401,8077
2023-02-22,EU,A,10885,11415
2023-02-22,EU,B,7031,8688
2023-02-22,EU,C,7915,11650
2023-02-22,APAC,A,2233,11049
2023-02-22,APAC,B,1140,14990
2023-02-22,APAC,C,4269,11244
2023-02-23,LATAM,A,1810,8673
2023-02-23,LATAM,B,2865,13035
2023-02-23,LATAM,C,4053,9151
2023-02-23,NA,A,3412,11022
2023-02-23,NA,B,10685,9352
2023-02-23,NA,C,8545,11529
2023-02-23,EU,A,10468,12343
2023-02-23,EU,B,10070,13956
2023-02-23,EU,C,12140,11962
2023-02-23,APAC,A,10605,12359
2023-02-23,APAC,B,11582,11951
2023-02-23,APAC,C,5429,8684
2023-02-24,LATAM,A,12280,12277
2023-02-24,LATAM,B,8921,9741
2023-02-24,LATAM,C,1554,11940
2023-02-24,NA,A,8881,9237
2023-02-24,NA,B,12765,11878
2023-02-24,NA,C,13599,14960
2023-02-24,EU,A,5775,8873
2023-02-24,EU,B,9746,9255
2023-02-24,EU,C,10663,9393
2023-02-24,APAC,A,401,11431
2023-02-24,APAC,B,9165,9158
2023-02-24,APAC,C,13360,13491
2023-02-25,LATAM,A,537,13782
2023-02-25,LATAM,B,4694,11281
2023-02-25,LATAM,C,10506,10233
2023-02-25,NA,A,7833,12287
2023-02-25,NA,B,6606,9234
2023-02-25,NA,C,3122,9961
2023-02-25,EU,A,6181,12608
2023-02-25,EU,B,15101,13246
2023-02-25,EU,C,164,11227
2023-02-25,APAC,A,6816,10791
2023-02-25,APAC,B,2143,8319
2023-02-25,APAC,C,6036,9558
2023-02-26,LATAM,A,3252,9086
2023-02-26,LATAM,B,10230,10639
2023-02-26,LATAM,C,4813,10496
2023-02-26,NA,A,5140,10185
2023-02-26,NA,B,14929,14188
2023-02-26,NA,C,14318,14557
2023-02-26,EU,A,1892,8236
2023-02-26,EU,B,10801,9632
2023-02-26,EU,C,11252,9279
2023-02-26,APAC,A,4312,14050
2023-02-26,APAC,B,9461,11201
2023-02-26,APAC,C,8682,13572
2023-02-27,LATAM,A,1613,11901
2023-02-27,LATAM,B,12953,10972
2023-02-27,LATAM,C,1616,13252
2023-02-27,NA,A,15696,14486
2023-02-27,NA,B,1093,12128
2023-02-27,NA,C,3199,8906
2023-02-27,EU,A,7897,10461
2023-02-27,EU,B,12661,11170
2023-02-27,EU,C,2246,9236
2023-02-27,APAC,A,4764,11916
2023-02-27,APAC,B,7095,12819
2023-02-27,APAC,C,11156,10296
2023-02-28,LATAM,A,8409,9555
2023-02-28,LATAM,B,-466,8098
2023-02-28,LATAM,C,7801,13216
2023-02-28,NA,A,3662,11820
2023-02-28,NA,B,5119,13018
2023-02-28,NA,C,3952,8184
2023-02-28,EU,A,6722,12603
2023-02-28,EU,B,4005,11380
2023-02-28,EU,C,12089,10657
2023-02-28,APAC,A,8701,10609
2023-02-28,APAC,B,3267,13229
2023-02-28,APAC,C,2757,9679
2023-03-01,LATAM,A,8968,8117
2023-03-01,LATAM,B,6152,11466
2023-03-01,LATAM,C,8013,13736
2023-03-01,NA,A,14354,12582
2023-03-01,NA,B,4620,9430
2023-03-01,NA,C,2284,9639
2023-03-01,EU,A,5939,9743
2023-03-01,EU,B,112,9612
2023-03-01,EU,C,6566,11794
2023-03-01,APAC,A,11503,11339
2023-03-01,APAC,B,6936,8178
2023-03-01,APAC,C,11394,12331
2023-03-02,LATAM,A,12243,11744
2023-03-02,LATAM,B,7117,8515
2023-03-02,LATAM,C,845,10396
2023-03-02,NA,A,10079,14082
2023-03-02,NA,B,11496,12669
2023-03-02,NA,C,6440,12527
2023-03-02,EU,A,8461,10129
2023-03-02,EU,B,9283,12259
2023-03-02,EU,C,11369,10935
2023-03-02,APAC,A,7120,10859
2023-03-02,APAC,B,8450,9328
2023-03-02,APAC,C,9730,11890
2023-03-03,LATAM,A,-223,8896
2023-03-03,LATAM,B,11841,10954
2023-03-03,LATAM,C,4780,14405
2023-03-03,NA,A,6360,12033
2023-03-03,NA,B,6473,9567
2023-03-03,NA,C,44,13300
2023-03-03,EU,A,2510,13734
2023-03-03,EU,B,345,11792
2023-03-03,EU,C,9622,13079
2023-03-03,APAC,A,4150,12397
2023-03-03,APAC,B,13746,13435
2023-03-03,APAC,C,4095,8947
2023-03-04,LATAM,A,10483,9921
2023-03-04,LATAM,B,7218,12088
2023-03-04,LATAM,C,8183,11294
