order_id,region,product,order_date,requested_delivery_date,actual_delivery_date,quantity
63,APAC,B,2023-01-07,2023-01-12,,901
64,APAC,C,2023-01-07,2023-01-12,2023-01-15,1642
65,LATAM,A,2023-01-08,2023-01-13,2023-01-20,1968
66,LATAM,C,2023-01-08,2023-01-13,2023-01-23,1424
67,NA,B,2023-01-08,2023-01-13,2023-01-13,590
68,NA,C,2023-01-08,2023-01-13,2023-01-20,1591
69,EU,B,2023-01-08,2023-01-13,2023-01-13,1417
70,APAC,A,2023-01-08,2023-01-13,2023-01-14,1737
71,APAC,B,2023-01-08,2023-01-13,2023-01-23,1114
72,APAC,C,2023-01-08,2023-01-13,2023-01-15,1674
73,LATAM,A,2023-01-09,2023-01-14,2023-01-14,2074
74,NA,A,2023-01-09,2023-01-14,2023-01-14,514
75,NA,B,2023-01-09,2023-01-14,,2310
76,NA,C,2023-01-09,2023-01-14,2023-01-15,2337
77,EU,B,2023-01-09,2023-01-14,2023-01-11,1951
78,EU,C,2023-01-09,2023-01-14,2023-01-21,2839
79,APAC,A,2023-01-09,2023-01-14,2023-01-16,1293
80,APAC,B,2023-01-09,2023-01-14,2023-01-17,2394
81,APAC,C,2023-01-09,2023-01-14,2023-01-24,1318
82,LATAM,B,2023-01-10,2023-01-15,2023-01-17,1113
83,NA,A,2023-01-10,2023-01-15,2023-01-25,620
84,NA,B,2023-01-10,2023-01-15,2023-01-18,2542
85,NA,C,2023-01-10,2023-01-15,2023-01-22,890
86,EU,A,2023-01-10,2023-01-15,2023-01-18,1322
87,EU,B,2023-01-10,2023-01-15,2023-01-16,736
88,APAC,A,2023-01-10,2023-01-15,2023-01-25,1468
89,APAC,B,2023-01-10,2023-01-15,2023-01-22,1441
90,APAC,C,2023-01-10,2023-01-15,2023-01-25,576
91,LATAM,A,2023-01-11,2023-01-16,2023-01-26,2877
92,LATAM,C,2023-01-11,2023-01-16,2023-01-19,2155
93,NA,A,2023-01-11,2023-01-16,2023-01-23,1275
94,NA,B,2023-01-11,2023-01-16,2023-01-16,1553
95,NA,C,2023-01-11,2023-01-16,2023-01-23,739
96,EU,B,2023-01-11,2023-01-16,2023-01-17,2959
97,EU,C,2023-01-11,2023-01-16,2023-01-18,2209
98,LATAM,B,2023-01-12,2023-01-17,2023-01-17,1712
99,NA,A,2023-01-12,2023-01-17,2023-01-20,1785
100,NA,B,2023-01-12,2023-01-17,2023-01-19,1020
101,EU,A,2023-01-12,2023-01-17,2023-01-17,564
102,EU,B,2023-01-12,2023-01-17,2023-01-18,1407
103,EU,C,2023-01-12,2023-01-17,2023-01-18,2751
104,APAC,B,2023-01-12,2023-01-17,2023-01-19,2991
105,APAC,C,2023-01-12,2023-01-17,2023-01-18,1924
106,LATAM,A,2023-01-13,2023-01-18,2023-01-19,2570
107,LATAM,B,2023-01-13,2023-01-18,2023-01-18,2213
108,LATAM,C,2023-01-13,2023-01-18,2023-01-20,1823
109,NA,A,2023-01-13,2023-01-18,2023-01-18,2048
110,NA,B,2023-01-13,2023-01-18,2023-01-25,1795
111,NA,C,2023-01-13,2023-01-18,2023-01-18,2464
112,EU,B,2023-01-13,2023-01-18,2023-01-21,2158
113,APAC,B,2023-01-13,2023-01-18,2023-01-19,742
114,APAC,C,2023-01-13,2023-01-18,2023-01-25,2450
115,LATAM,A,2023-01-14,2023-01-19,2023-01-29,2900
116,LATAM,B,2023-01-14,2023-01-19,2023-01-26,810
117,LATAM,C,2023-01-14,2023-01-19,2023-01-26,1350
118,NA,B,2023-01-14,2023-01-19,2023-01-29,1499
119,NA,C,2023-01-14,2023-01-19,,2428
120,EU,C,2023-01-14,2023-01-19,2023-01-19,922
121,APAC,B,2023-01-14,2023-01-19,,1682
122,APAC,C,2023-01-14,2023-01-19,,2268
123,LATAM,A,2023-01-15,2023-01-20,2023-01-27,2913
124,LATAM,C,2023-01-15,2023-01-20,2023-01-20,1482
125,NA,A,2023-01-15,2023-01-20,2023-01-20,1766
126,NA,C,2023-01-15,2023-01-20,2023-01-21,2476
127,EU,B,2023-01-15,2023-01-20,,1559
128,EU,C,2023-01-15,2023-01-20,2023-01-23,2268
129,APAC,A,2023-01-15,2023-01-20,2023-01-22,2291
130,LATAM,A,2023-01-16,2023-01-21,2023-01-31,1325
131,LATAM,B,2023-01-16,2023-01-21,2023-01-23,1741
132,NA,B,2023-01-16,2023-01-21,2023-01-28,2782
133,NA,C,2023-01-16,2023-01-21,2023-01-22,1778
134,EU,A,2023-01-16,2023-01-21,2023-01-31,936
135,EU,B,2023-01-16,2023-01-21,2023-01-22,1351
136,EU,C,2023-01-16,2023-01-21,2023-01-21,918
137,APAC,A,2023-01-16,2023-01-21,2023-01-28,2343
138,LATAM,A,2023-01-17,2023-01-22,2023-01-23,586
139,LATAM,C,2023-01-17,2023-01-22,2023-01-25,2756
140,NA,C,2023-01-17,2023-01-22,2023-01-29,2679
141,EU,A,2023-01-17,2023-01-22,2023-01-23,2378
142,EU,B,2023-01-17,2023-01-22,2023-01-24,1747
143,EU,C,2023-01-17,2023-01-22,2023-01-29,1098
144,APAC,A,2023-01-17,2023-01-22,2023-02-01,771
145,APAC,B,2023-01-17,2023-01-22,2023-02-01,2914
146,APAC,C,2023-01-17,2023-01-22,2023-02-01,822
147,LATAM,A,2023-01-18,2023-01-23,2023-01-23,506
148,LATAM,B,2023-01-18,2023-01-23,2023-01-26,2604
149,LATAM,C,2023-01-18,2023-01-23,2023-01-25,772
150,NA,B,2023-01-18,2023-01-23,2023-01-23,2617
151,NA,C,2023-01-18,2023-01-23,2023-01-30,2444
152,APAC,A,2023-01-18,2023-01-23,2023-01-26,2760
153,APAC,C,2023-01-18,2023-01-23,2023-01-25,2633
154,LATAM,A,2023-01-19,2023-01-24,,1367
155,NA,A,2023-01-19,2023-01-24,2023-01-25,899
156,NA,B,2023-01-19,2023-01-24,2023-02-03,2176
157,NA,C,2023-01-19,2023-01-24,2023-01-31,2407
158,EU,C,2023-01-19,2023-01-24,2023-02-03,1008
159,APAC,A,2023-01-19,2023-01-24,2023-01-31,2333
160,APAC,B,2023-01-19,2023-01-24,2023-01-27,1860
161,APAC,C,2023-01-19,2023-01-24,2023-01-24,721
162,LATAM,A,2023-01-20,2023-01-25,2023-01-26,1828
163,LATAM,C,2023-01-20,2023-01-25,2023-02-01,1097
164,NA,A,2023-01-20,2023-01-25,,2467
165,NA,C,2023-01-20,2023-01-25,2023-02-04,709
166,EU,A,2023-01-20,2023-01-25,2023-01-25,2413
167,APAC,B,2023-01-20,2023-01-25,2023-02-04,2631
168,APAC,C,2023-01-20,2023-01-25,2023-02-04,2350
169,LATAM,B,2023-01-21,2023-01-26,2023-01-26,756
170,NA,A,2023-01-21,2023-01-26,2023-02-02,1147
171,EU,A,2023-01-21,2023-01-26,2023-01-26,1365
172,EU,B,2023-01-21,2023-01-26,,2884
173,EU,C,2023-01-21,2023-01-26,2023-02-05,2498
174,APAC,A,2023-01-21,2023-01-26,2023-01-28,2034
175,APAC,C,2023-01-21,2023-01-26,2023-01-27,1845
176,NA,B,2023-01-22,2023-01-27,2023-02-06,2396
177,EU,B,2023-01-22,2023-01-27,2023-02-03,750
178,EU,C,2023-01-22,2023-01-27,2023-01-27,2104
179,APAC,A,2023-01-22,2023-01-27,2023-01-27,1206
180,APAC,B,2023-01-22,2023-01-27,2023-01-30,622
181,APAC,C,2023-01-22,2023-01-27,2023-01-27,2335
182,LATAM,B,2023-01-23,2023-01-28,2023-02-07,2615
183,LATAM,C,2023-01-23,2023-01-28,2023-01-28,1850
184,NA,A,2023-01-23,2023-01-28,2023-01-28,1694
185,NA,C,2023-01-23,2023-01-28,2023-02-04,1907
186,EU,A,2023-01-23,2023-01-28,2023-01-28,2542
187,EU,B,2023-01-23,2023-01-28,2023-01-28,2707
188,EU,C,2023-01-23,2023-01-28,2023-01-30,2472
189,APAC,B,2023-01-23,2023-01-28,2023-01-30,2046
190,APAC,C,2023-01-23,2023-01-28,2023-02-07,2136
191,LATAM,B,2023-01-24,2023-01-29,2023-01-30,2687
192,NA,A,2023-01-24,2023-01-29,2023-02-08,1163
193,NA,B,2023-01-24,2023-01-29,2023-01-29,2431
194,NA,C,2023-01-24,2023-01-29,2023-01-31,1809
195,EU,B,2023-01-24,2023-01-29,2023-01-29,620
196,APAC,B,2023-01-24,2023-01-29,2023-01-30,2993
197,LATAM,B,2023-01-25,2023-01-30,2023-02-02,2256
198,NA,A,2023-01-25,2023-01-30,2023-02-01,2523
199,NA,C,2023-01-25,2023-01-30,2023-02-06,2896
200,EU,A,2023-01-25,2023-01-30,2023-01-31,501
201,EU,B,2023-01-25,2023-01-30,2023-02-09,1463
202,APAC,A,2023-01-25,2023-01-30,2023-02-01,1804
203,APAC,B,2023-01-25,2023-01-30,2023-02-09,2088
204,APAC,C,2023-01-25,2023-01-30,2023-02-09,2997
205,LATAM,B,2023-01-26,2023-01-31,2023-02-01,2640
206,NA,B,2023-01-26,2023-01-31,2023-02-02,738
207,EU,A,2023-01-26,2023-01-31,2023-01-31,1372
208,EU,B,2023-01-26,2023-01-31,2023-02-10,2062
209,EU,C,2023-01-26,2023-01-31,2023-02-02,1937
210,APAC,A,2023-01-26,2023-01-31,2023-02-10,1085
211,APAC,B,2023-01-26,2023-01-31,2023-02-02,2680
212,APAC,C,2023-01-26,2023-01-31,2023-02-01,527
213,LATAM,A,2023-01-27,2023-02-01,2023-02-03,2863
214,LATAM,B,2023-01-27,2023-02-01,2023-02-03,794
215,NA,A,2023-01-27,2023-02-01,2023-02-08,2472
216,NA,B,2023-01-27,2023-02-01,2023-02-01,2791
217,EU,A,2023-01-27,2023-02-01,2023-02-03,1129
218,EU,B,2023-01-27,2023-02-01,2023-02-02,1908
219,EU,C,2023-01-27,2023-02-01,2023-02-01,1111
220,APAC,A,2023-01-27,2023-02-01,2023-02-02,2060
221,APAC,B,2023-01-27,2023-02-01,2023-02-11,525
222,APAC,C,2023-01-27,2023-02-01,2023-02-03,1075
223,LATAM,A,2023-01-28,2023-02-02,2023-02-05,1796
224,LATAM,B,2023-01-28,2023-02-02,2023-02-05,2937
225,LATAM,C,2023-01-28,2023-02-02,2023-02-09,2266
226,NA,A,2023-01-28,2023-02-02,2023-02-04,2692
227,NA,B,2023-01-28,2023-02-02,2023-02-12,715
228,NA,C,2023-01-28,2023-02-02,2023-02-12,2181
229,EU,A,2023-01-28,2023-02-02,2023-02-04,807
230,EU,C,2023-01-28,2023-02-02,2023-02-03,2626
231,APAC,A,2023-01-28,2023-02-02,2023-02-09,566
232,APAC,B,2023-01-28,2023-02-02,2023-02-02,603
233,LATAM,B,2023-01-29,2023-02-03,2023-02-05,2346
234,LATAM,C,2023-01-29,2023-02-03,2023-02-06,2682
235,NA,B,2023-01-29,2023-02-03,2023-02-06,2095
236,NA,C,2023-01-29,2023-02-03,,2570
237,EU,A,2023-01-29,2023-02-03,2023-02-03,2986
238,EU,B,2023-01-29,2023-02-03,2023-02-13,1482
239,EU,C,2023-01-29,2023-02-03,2023-02-04,1496
240,APAC,A,2023-01-29,2023-02-03,2023-02-04,1454
241,APAC,B,2023-01-29,2023-02-03,2023-02-04,1601
242,APAC,C,2023-01-29,2023-02-03,2023-02-05,2940
243,LATAM,A,2023-01-30,2023-02-04,2023-02-01,857
244,LATAM,B,2023-01-30,2023-02-04,2023-02-06,811
245,LATAM,C,2023-01-30,2023-02-04,2023-02-14,2129
246,NA,A,2023-01-30,2023-02-04,2023-02-14,2983
247,NA,B,2023-01-30,2023-02-04,,2610
248,NA,C,2023-01-30,2023-02-04,2023-02-06,1005
249,APAC,A,2023-01-30,2023-02-04,2023-02-07,723
250,APAC,B,2023-01-30,2023-02-04,2023-02-04,2141
251,LATAM,B,2023-01-31,2023-02-05,2023-02-07,847
252,LATAM,C,2023-01-31,2023-02-05,2023-02-06,2360
253,NA,A,2023-01-31,2023-02-05,2023-02-08,722
254,NA,B,2023-01-31,2023-02-05,2023-02-05,2076
255,NA,C,2023-01-31,2023-02-05,2023-02-15,1747
256,EU,A,2023-01-31,2023-02-05,2023-02-12,1430
257,EU,B,2023-01-31,2023-02-05,2023-02-05,822
258,EU,C,2023-01-31,2023-02-05,2023-02-06,1356
259,APAC,A,2023-01-31,2023-02-05,2023-02-15,545
260,APAC,B,2023-01-31,2023-02-05,2023-02-15,2650
261,APAC,C,2023-01-31,2023-02-05,2023-02-12,2155
262,LATAM,B,2023-02-01,2023-02-06,2023-02-13,2809
263,LATAM,C,2023-02-01,2023-02-06,2023-02-09,1192
264,NA,A,2023-02-01,2023-02-06,2023-02-06,643
265,NA,B,2023-02-01,2023-02-06,2023-02-13,925
266,NA,C,2023-02-01,2023-02-06,2023-02-16,977
267,EU,A,2023-02-01,2023-02-06,2023-02-08,2518
268,EU,C,2023-02-01,2023-02-06,2023-02-16,2779
269,APAC,A,2023-02-01,2023-02-06,2023-02-06,2390
270,APAC,B,2023-02-01,2023-02-06,2023-02-06,2733
271,APAC,C,2023-02-01,2023-02-06,2023-02-13,1885
272,LATAM,B,2023-02-02,2023-02-07,2023-02-09,1202
273,LATAM,C,2023-02-02,2023-02-07,2023-02-14,2429
274,NA,A,2023-02-02,2023-02-07,2023-02-07,1457
275,NA,B,2023-02-02,2023-02-07,2023-02-14,1600
276,NA,C,2023-02-02,2023-02-07,2023-02-17,2736
277,EU,A,2023-02-02,2023-02-07,2023-02-09,2304
278,EU,B,2023-02-02,2023-02-07,2023-02-10,1499
279,EU,C,2023-02-02,2023-02-07,2023-02-09,1292
280,APAC,B,2023-02-02,2023-02-07,2023-02-07,1866
281,LATAM,A,2023-02-03,2023-02-08,2023-02-11,2309
282,EU,A,2023-02-03,2023-02-08,2023-02-09,1436
283,EU,C,2023-02-03,2023-02-08,2023-02-18,1226
284,APAC,A,2023-02-03,2023-02-08,2023-02-18,794
285,APAC,B,2023-02-03,2023-02-08,2023-02-18,2861
286,APAC,C,2023-02-03,2023-02-08,2023-02-15,2029
287,LATAM,A,2023-02-04,2023-02-09,2023-02-09,1933
288,LATAM,B,2023-02-04,2023-02-09,2023-02-09,1343
289,LATAM,C,2023-02-04,2023-02-09,,2238
290,NA,A,2023-02-04,2023-02-09,2023-02-09,967
291,EU,A,2023-02-04,2023-02-09,2023-02-16,924
292,EU,C,2023-02-04,2023-02-09,2023-02-19,764
293,APAC,A,2023-02-04,2023-02-09,2023-02-12,1114
294,APAC,B,2023-02-04,2023-02-09,2023-02-16,503
295,LATAM,A,2023-02-05,2023-02-10,2023-02-11,1611
296,LATAM,B,2023-02-05,2023-02-10,2023-02-13,2391
297,NA,A,2023-02-05,2023-02-10,2023-02-11,1866
298,NA,B,2023-02-05,2023-02-10,2023-02-11,2520
299,NA,C,2023-02-05,2023-02-10,2023-02-10,1311
300,EU,C,2023-02-05,2023-02-10,2023-02-13,1346
301,APAC,A,2023-02-05,2023-02-10,2023-02-11,2470
302,APAC,C,2023-02-05,2023-02-10,2023-02-17,2115
303,LATAM,A,2023-02-06,2023-02-11,2023-02-11,2688
304,LATAM,B,2023-02-06,2023-02-11,2023-02-18,1638
305,NA,A,2023-02-06,2023-02-11,2023-02-18,1408
306,NA,B,2023-02-06,2023-02-11,2023-02-14,2552
307,NA,C,2023-02-06,2023-02-11,2023-02-21,786
308,EU,A,2023-02-06,2023-02-11,2023-02-11,2630
309,EU,B,2023-02-06,2023-02-11,2023-02-12,514
310,EU,C,2023-02-06,2023-02-11,2023-02-21,2576
311,APAC,A,2023-02-06,2023-02-11,2023-02-13,597
312,APAC,B,2023-02-06,2023-02-11,2023-02-14,1437
313,APAC,C,2023-02-06,2023-02-11,2023-02-11,1095
314,LATAM,B,2023-02-07,2023-02-12,2023-02-13,1018
315,NA,A,2023-02-07,2023-02-12,2023-02-15,963
316,NA,B,2023-02-07,2023-02-12,2023-02-12,674
317,EU,B,2023-02-07,2023-02-12,2023-02-14,2019
318,EU,C,2023-02-07,2023-02-12,2023-02-19,760
319,LATAM,C,2023-02-08,2023-02-13,2023-02-23,2547
320,NA,B,2023-02-08,2023-02-13,2023-02-16,2310
321,EU,B,2023-02-08,2023-02-13,2023-02-16,2915
322,APAC,A,2023-02-08,2023-02-13,2023-02-20,964
323,APAC,B,2023-02-08,2023-02-13,2023-02-14,2822
324,APAC,C,2023-02-08,2023-02-13,2023-02-23,980
325,LATAM,A,2023-02-09,2023-02-14,2023-02-11,1255
326,LATAM,B,2023-02-09,2023-02-14,2023-02-14,2567
327,NA,A,2023-02-09,2023-02-14,2023-02-24,1095
328,NA,B,2023-02-09,2023-02-14,2023-02-14,2725
329,NA,C,2023-02-09,2023-02-14,2023-02-16,885
330,EU,A,2023-02-09,2023-02-14,2023-02-24,2386
331,EU,C,2023-02-09,2023-02-14,2023-02-14,2901
332,APAC,A,2023-02-09,2023-02-14,2023-02-21,2153
333,APAC,B,2023-02-09,2023-02-14,2023-02-21,1839
334,APAC,C,2023-02-09,2023-02-14,2023-02-24,2570
335,LATAM,B,2023-02-10,2023-02-15,2023-02-16,586
336,NA,A,2023-02-10,2023-02-15,2023-02-25,1406
337,NA,B,2023-02-10,2023-02-15,2023-02-25,1277
338,NA,C,2023-02-10,2023-02-15,2023-02-18,1441
339,EU,A,2023-02-10,2023-02-15,2023-02-16,546
340,EU,B,2023-02-10,2023-02-15,2023-02-15,2238
341,APAC,B,2023-02-10,2023-02-15,2023-02-17,2464
342,APAC,C,2023-02-10,2023-02-15,2023-02-22,2016
343,LATAM,A,2023-02-11,2023-02-16,2023-02-17,1006
344,LATAM,B,2023-02-11,2023-02-16,2023-02-16,1255
345,NA,A,2023-02-11,2023-02-16,,2558
346,NA,B,2023-02-11,2023-02-16,2023-02-17,2424
347,NA,C,2023-02-11,2023-02-16,2023-02-26,564
348,EU,A,2023-02-11,2023-02-16,2023-02-26,2656
349,APAC,C,2023-02-11,2023-02-16,2023-02-18,2976
350,LATAM,B,2023-02-12,2023-02-17,2023-02-20,2865
351,LATAM,C,2023-02-12,2023-02-17,2023-02-18,1931
352,NA,B,2023-02-12,2023-02-17,,584
353,EU,A,2023-02-12,2023-02-17,2023-02-20,2339
354,EU,B,2023-02-12,2023-02-17,2023-02-19,738
355,EU,C,2023-02-12,2023-02-17,2023-02-19,2284
356,APAC,A,2023-02-12,2023-02-17,2023-02-24,2403
357,APAC,B,2023-02-12,2023-02-17,2023-02-24,1338
358,LATAM,A,2023-02-13,2023-02-18,2023-02-19,1857
359,LATAM,C,2023-02-13,2023-02-18,2023-02-20,1233
360,NA,A,2023-02-13,2023-02-18,2023-02-25,2340
361,NA,B,2023-02-13,2023-02-18,2023-02-19,2041
362,NA,C,2023-02-13,2023-02-18,,503
363,EU,A,2023-02-13,2023-02-18,2023-02-19,1912
364,EU,B,2023-02-13,2023-02-18,2023-02-19,2410
365,EU,C,2023-02-13,2023-02-18,2023-02-28,1599
366,APAC,C,2023-02-13,2023-02-18,2023-02-20,2459
367,LATAM,C,2023-02-14,2023-02-19,2023-02-26,2691
368,NA,A,2023-02-14,2023-02-19,2023-02-19,2299
369,NA,C,2023-02-14,2023-02-19,2023-02-22,1568
370,EU,A,2023-02-14,2023-02-19,2023-02-26,1977
371,EU,B,2023-02-14,2023-02-19,2023-02-26,2898
372,EU,C,2023-02-14,2023-02-19,2023-02-20,558
373,APAC,B,2023-02-14,2023-02-19,2023-02-22,882
374,APAC,C,2023-02-14,2023-02-19,2023-02-20,1258
375,LATAM,A,2023-02-15,2023-02-20,2023-02-22,793
376,LATAM,B,2023-02-15,2023-02-20,2023-02-20,738
377,NA,A,2023-02-15,2023-02-20,2023-02-23,2179
378,NA,C,2023-02-15,2023-02-20,2023-02-21,1444
379,EU,A,2023-02-15,2023-02-20,2023-02-21,1252
380,EU,C,2023-02-15,2023-02-20,2023-02-21,2872
381,APAC,A,2023-02-15,2023-02-20,2023-02-23,2702
382,APAC,B,2023-02-15,2023-02-20,2023-03-02,2766
383,APAC,C,2023-02-15,2023-02-20,2023-02-23,653
384,LATAM,A,2023-02-16,2023-02-21,2023-03-03,1684
385,LATAM,B,2023-02-16,2023-02-21,2023-02-23,1796
386,LATAM,C,2023-02-16,2023-02-21,2023-02-21,1350
387,NA,A,2023-02-16,2023-02-21,2023-03-03,1713
388,NA,B,2023-02-16,2023-02-21,2023-02-21,1547
389,NA,C,2023-02-16,2023-02-21,2023-02-21,801
390,EU,A,2023-02-16,2023-02-21,2023-02-28,2000
391,EU,B,2023-02-16,2023-02-21,2023-02-23,1662
392,APAC,C,2023-02-16,2023-02-21,2023-02-23,1775
393,LATAM,A,2023-02-17,2023-02-22,2023-02-23,1573
394,LATAM,B,2023-02-17,2023-02-22,2023-02-24,2268
395,LATAM,C,2023-02-17,2023-02-22,2023-02-22,1077
396,NA,A,2023-02-17,2023-02-22,2023-02-25,1250
397,NA,C,2023-02-17,2023-02-22,2023-02-22,619
398,EU,A,2023-02-17,2023-02-22,2023-02-24,2511
399,EU,B,2023-02-17,2023-02-22,2023-03-04,2428
400,EU,C,2023-02-17,2023-02-22,2023-03-01,2588
401,APAC,A,2023-02-17,2023-02-22,2023-02-25,1026
402,APAC,B,2023-02-17,2023-02-22,2023-02-23,1443
403,APAC,C,2023-02-17,2023-02-22,2023-03-04,1037
404,LATAM,B,2023-02-18,2023-02-23,2023-02-24,1877
405,LATAM,C,2023-02-18,2023-02-23,2023-03-05,2159
406,NA,A,2023-02-18,2023-02-23,2023-02-23,2619
407,NA,B,2023-02-18,2023-02-23,2023-02-26,685
408,NA,C,2023-02-18,2023-02-23,2023-02-24,1846
409,EU,C,2023-02-18,2023-02-23,,2304
410,APAC,B,2023-02-18,2023-02-23,2023-02-26,827
411,APAC,C,2023-02-18,2023-02-23,2023-02-25,982
412,LATAM,B,2023-02-19,2023-02-24,2023-03-06,1489
413,LATAM,C,2023-02-19,2023-02-24,2023-03-03,1048
414,NA,C,2023-02-19,2023-02-24,2023-02-26,1725
415,EU,A,2023-02-19,2023-02-24,2023-02-25,666
416,EU,B,2023-02-19,2023-02-24,,1337
417,EU,C,2023-02-19,2023-02-24,2023-02-25,711
418,APAC,B,2023-02-19,2023-02-24,2023-03-06,1111
419,LATAM,A,2023-02-20,2023-02-25,2023-03-04,2542
420,LATAM,B,2023-02-20,2023-02-25,,2059
421,LATAM,C,2023-02-20,2023-02-25,2023-02-22,1068
422,NA,A,2023-02-20,2023-02-25,,838
423,NA,B,2023-02-20,2023-02-25,2023-02-28,1794
424,NA,C,2023-02-20,2023-02-25,2023-02-25,1253
425,EU,B,2023-02-20,2023-02-25,2023-02-25,2353
426,EU,C,2023-02-20,2023-02-25,2023-02-25,2464
427,APAC,A,2023-02-20,2023-02-25,,1583
428,APAC,B,2023-02-20,2023-02-25,2023-02-27,2602
429,APAC,C,2023-02-20,2023-02-25,2023-03-07,1799
430,LATAM,A,2023-02-21,2023-02-26,2023-02-28,968
431,LATAM,C,2023-02-21,2023-02-26,2023-02-26,847
432,NA,A,2023-02-21,2023-02-26,2023-03-05,2305
433,NA,B,2023-02-21,2023-02-26,2023-02-26,571
434,NA,C,2023-02-21,2023-02-26,2023-02-28,2406
435,EU,A,2023-02-21,2023-02-26,2023-02-26,1690
436,EU,B,2023-02-21,2023-02-26,2023-02-26,2575
437,EU,C,2023-02-21,2023-02-26,2023-02-28,1274
438,APAC,A,2023-02-21,2023-02-26,2023-03-01,2224
439,APAC,B,2023-02-21,2023-02-26,2023-02-27,2755
440,LATAM,A,2023-02-22,2023-02-27,2023-03-06,1385
441,LATAM,C,2023-02-22,2023-02-27,2023-03-09,739
442,NA,A,2023-02-22,2023-02-27,2023-02-27,2330
443,NA,C,2023-02-22,2023-02-27,2023-02-27,603
444,EU,A,2023-02-22,2023-02-27,2023-03-06,826
445,EU,B,2023-02-22,2023-02-27,2023-03-02,1955
446,EU,C,2023-02-22,2023-02-27,2023-03-01,819
